Component Name,File Path,Current Implementation,shadcn Equivalent,Priority,Complexity,Files Affected,Status,Notes,Assignee,Estimated Hours
AccessibleButton,accessible/AccessibleButton.tsx,Custom component,shadcn Button,High,Medium,40+,Complete,✅ Migrated - All WCAG 2.1 AA features preserved,Claude,4
AccessibleFormInput,accessible/AccessibleFormInput.tsx,Custom component,shadcn Input,High,Medium,30+,Complete,✅ Migrated - Added hideLabel prop,Claude,4
AccessibleModal,accessible/AccessibleModal.tsx,Custom WCAG component,shadcn Dialog,High,High,4 modals + pages,Complete,✅ CRITICAL - Migrated with aria-modal and enhanced dialog.tsx,Claude,8
AccessibleSkipLink,accessible/AccessibleSkipLink.tsx,Custom component,Keep as-is,Low,N/A,1,N/A,No migration needed,,0
btn-primary,Multiple pages,CSS class,shadcn Button,High,Low,5,Complete,✅ Replaced in 5 files with Button default variant,Claude,1
btn-secondary,Multiple pages,CSS class,shadcn Button (secondary),High,Low,3,Complete,✅ Replaced with Button variant="secondary",Claude,1
btn-secondary-accessible,Multiple pages,CSS class,shadcn Button (outline),High,Low,3,Complete,✅ Replaced with Button variant="outline",Claude,1
card,Multiple pages,CSS class,shadcn Card,High,Low,9,Complete,✅ Replaced in 9 instances across 3 pages,Claude,2
MessageActions,chat/MessageActions.tsx,Custom buttons,Button + DropdownMenu,Medium,Medium,1,Complete,✅ Migrated to shadcn Button with variants,Claude,3
MessageInput,chat/MessageInput.tsx,Custom input + button,Input + Button,High,Low,1,Complete,✅ Migrated - Created textarea.tsx component,Claude,2
MessageEditForm,chat/MessageEditForm.tsx,Custom form,Input + Button,High,Low,1,Complete,✅ Migrated with Textarea component,Claude,2
GameSelector,chat/GameSelector.tsx,Native select,shadcn Select,Medium,Low,1,Complete,✅ Migrated to Radix Select with polyfills,Claude,2
AgentSelector,chat/AgentSelector.tsx,Native select,shadcn Select,Medium,Low,1,Complete,✅ Migrated to Radix Select,Claude,2
ChatHistoryItem,chat/ChatHistoryItem.tsx,Custom button,shadcn Button,Medium,Low,1,Complete,✅ Migrated - Inline styles → Tailwind,Claude,1
