path,file_count,category,target_root,rationale
architecture/,56,KEEP-REFERENCE,for-claude/architecture/,"ADR + DDD + diagrams: reference vivo, base per Claude e architect"
architecture/adr/,~30,KEEP-REFERENCE,for-claude/architecture/adr/,"ADR canonici - non spostare numerazione"
bounded-contexts/*.md,20,KEEP-REFERENCE,for-claude/architecture/bounded-contexts/,"19 BC docs - reference DDD"
bounded-contexts/diagrams/,129,ASSET,assets/diagrams/bounded-contexts/,"Mermaid + PNG + SVG generati: non in docs/, asset binari pesanti (~10MB)"
api/,87,KEEP-REFERENCE,for-claude/api-reference/,"REST endpoint reference, RAG docs, contracts"
contracts/,1,KEEP-REFERENCE,for-claude/api-reference/contracts/,"Cartella vuota di placeholder - consolidare con api/"
development/,59,KEEP-REFERENCE,for-developers/workflows/,"Setup, git, secrets, migrations - audience: contributor humans"
development/agent-architecture/,?,KEEP-REFERENCE,for-claude/patterns/agent-architecture/,"Pattern AI/agent - audience: Claude"
testing/,51,KEEP-REFERENCE,for-developers/testing/,"Backend/frontend/e2e patterns"
security/,6,KEEP-REFERENCE,for-developers/security/,"OWASP, vulnerabilities"
compliance/,9,KEEP-REFERENCE,for-developers/security/compliance/,"Consolidare sotto security/"
deployment/,29,KEEP-REFERENCE,for-developers/deployment/,"Infrastructure, CI/CD, monitoring"
operations/,10,KEEP-REFERENCE,for-developers/deployment/operations/,"Runbooks - merge con deployment/"
frontend/,61,KEEP-REFERENCE,for-developers/frontend/,"Component guides, design tokens - SOLO le 35 md"
frontend/screenshots/,?,ASSET,assets/frontend-screenshots/,"PNG mockups - fuori da docs/"
frontend/ux-mockups/,?,ASSET,assets/ux-mockups/,"PNG mockups - fuori da docs/"
frontend/layout-concepts/,?,ASSET,assets/layout-concepts/,"PNG concepts - fuori da docs/"
user-guides/,30,USER-FACING,for-users/roles/,"Guide admin/editor/user - candidate primarie per wiki"
features/,7,USER-FACING,for-users/features/,"7 feature docs - base del wiki utente"
libro-game-assistant/,6,USER-FACING,for-users/features/libro/,"Brand-facing content"
brand/,2,USER-FACING,for-users/brand/,"Brand identity - audience misto"
content-strategy/,1,USER-FACING,for-users/brand/content-strategy.md,"Content guidelines"
