Categoria,Servizio,Piano,Utenti_Target,vCPU,RAM_GB,Storage_GB,Costo_Mensile_EUR,Costo_Annuale_EUR,Note
GitHub,GitHub,Free,2000-5000,N/A,N/A,N/A,0,0,2000 Actions minutes
GitHub,GitHub,Team (3 utenti),2000-5000,N/A,N/A,N/A,12,144,3000 Actions minutes
GitHub,GitHub,Team (5 utenti),2000-5000,N/A,N/A,N/A,20,240,3000 Actions minutes
Hosting,Hetzner Cloud,CPX31,2000-5000,4,8,160,23.59,283,AMD EPYC single server
Hosting,Hetzner Cloud,2× CPX31,2000-5000,8,16,320,47,564,Distributed setup
Hosting,Hetzner Cloud,CPX41 + CPX31,2000-5000,12,24,400,70,840,Balanced setup
Hosting,DigitalOcean,2× Droplets,2000-5000,12,12,100,96,1152,Simpler managed
Hosting,AWS Fargate,Ottimizzato,2000-5000,10,26,150,366,4392,Auto-scaling premium
Hosting,AWS Fargate,Reserved 1yr,2000-5000,10,26,150,256,3072,30% discount committed
Database,Self-hosted,PostgreSQL container,2000-5000,2,4,50,0,0,Incluso in Hetzner
Database,Neon,Serverless Pro,2000-5000,N/A,N/A,50,19,228,Auto-scaling managed
Database,AWS RDS,db.t4g.micro,2000-5000,2,1,50,26,312,Managed + backup
Database,DigitalOcean,Basic Managed,2000-5000,1,1,10,15,180,Simple managed
Database,Supabase,Free tier,2000-5000,N/A,N/A,500MB,0,0,PostgreSQL + API free
Redis,Self-hosted,Container,2000-5000,0.5,1,5,0,0,Incluso in Hetzner
Redis,Upstash,1GB plan,2000-5000,N/A,N/A,1,10,120,Serverless Redis
Redis,AWS ElastiCache,cache.t4g.micro,2000-5000,2,0.5,N/A,15,180,Managed Redis
AI_LLM,Ollama,CPU self-hosted,2000-5000,2,8,15,5,60,Llama 3.1 8B Q4 quantized
AI_LLM,Ollama + OpenRouter,Hybrid 80/20,2000-5000,2,8,15,10,120,Fallback for complex queries
AI_LLM,Ollama + OpenRouter,Hybrid optimized,2000-5000,2,8,15,15,180,With caching
AI_LLM,OpenRouter only,GPT-4 5K queries,2000-5000,N/A,N/A,N/A,230,2760,No self-hosting
AI_LLM,OpenRouter only,Claude 5K queries,2000-5000,N/A,N/A,N/A,35,420,Cheaper model
AI_LLM,Hetzner GPU,GEX44 RTX 4000,2000-5000,6,64,2000,184,2208,Overkill per 2-5K utenti
Dominio,.it,Cloudflare,2000-5000,N/A,N/A,N/A,0.75,9,www.meeple-ai.it
Dominio,.com,Cloudflare,2000-5000,N/A,N/A,N/A,0.81,9.77,Alternative globale
Dominio,.dev,Cloudflare,2000-5000,N/A,N/A,N/A,1.06,12.66,Tech-friendly
Dominio,.io,Cloudflare,2000-5000,N/A,N/A,N/A,2.92,35,Startup vibe
Dominio,.ai,Cloudflare,2000-5000,N/A,N/A,N/A,11.67,140,Troppo costoso
DNS,Cloudflare,Free,2000-5000,N/A,N/A,N/A,0,0,Unlimited DNS queries
DNS,Cloudflare,Pro,2000-5000,N/A,N/A,N/A,20,240,Advanced analytics
DNS,AWS Route53,Hosted zone,2000-5000,N/A,N/A,N/A,2,24,Solo se già AWS
SSL,Let's Encrypt,Free,2000-5000,N/A,N/A,N/A,0,0,Auto-renew certbot
SSL,Cloudflare,Free SSL,2000-5000,N/A,N/A,N/A,0,0,Universal SSL automatic
Email,AWS SES,20K emails,2000-5000,N/A,N/A,N/A,1.7,20,Best price 0.10 per 1K
Email,Resend,Free tier,2000-5000,N/A,N/A,N/A,0,0,3K/mese gratis
Email,SendGrid,Basic 40K,2000-5000,N/A,N/A,N/A,18.5,222,Più costoso
Email,Mailgun,Pay-as-go,2000-5000,N/A,N/A,N/A,5,60,Flessibile
CDN,Cloudflare,Free,2000-5000,N/A,N/A,N/A,0,0,Unlimited bandwidth
CDN,BunnyCDN,60GB/mese,2000-5000,N/A,N/A,N/A,0.6,7.2,0.01 EUR/GB
CDN,AWS CloudFront,60GB/mese,2000-5000,N/A,N/A,N/A,4.69,56.3,0.085 USD/GB
CDN,Vercel,Free tier,2000-5000,N/A,N/A,N/A,0,0,100GB/mese inclusi
Banda,Hetzner,Inclusa,2000-5000,N/A,N/A,N/A,0,0,20TB/mese included
Banda,DigitalOcean,Inclusa,2000-5000,N/A,N/A,N/A,0,0,1-6TB included
Banda,AWS,60GB egress,2000-5000,N/A,N/A,N/A,4.69,56.3,Primi 100GB gratis
Storage,Hetzner,SSD incluso,2000-5000,N/A,N/A,160,0,0,Nel server CPX
Storage,Hetzner,Volume extra,2000-5000,N/A,N/A,100,11.9,143,Block storage
Storage,DigitalOcean,Volume,2000-5000,N/A,N/A,100,10,120,Block storage
Storage,AWS EBS,gp3,2000-5000,N/A,N/A,100,10.6,127,General purpose SSD
Backup,Backblaze B2,100GB,2000-5000,N/A,N/A,100,0.46,5.5,Object storage
Backup,AWS S3 Glacier,100GB,2000-5000,N/A,N/A,100,0.37,4.4,Cold storage
Backup,Hetzner,Snapshot,2000-5000,N/A,N/A,100,4.76,57,Block snapshot 4 weekly
Monitoring,Prometheus + Grafana,Self-hosted,2000-5000,0.5,1,20,0,0,Incluso in compute
Monitoring,Seq,Self-hosted,2000-5000,0.5,1,10,0,0,Structured logging
Monitoring,Sentry,Free tier,2000-5000,N/A,N/A,N/A,0,0,5K events/mese
Monitoring,Sentry,Paid,2000-5000,N/A,N/A,N/A,27,324,50K events/mese
Monitoring,Rollbar,Free tier,2000-5000,N/A,N/A,N/A,0,0,5K events unlimited users
Monitoring,New Relic,Free tier,2000-5000,N/A,N/A,N/A,0,0,100GB/mese
Uptime,UptimeRobot,Free,2000-5000,N/A,N/A,N/A,0,0,50 monitors 5min
Uptime,Better Uptime,Free,2000-5000,N/A,N/A,N/A,0,0,10 monitors 3min
Uptime,Better Uptime,Pro,2000-5000,N/A,N/A,N/A,10,120,Advanced features
Analytics,Umami,Self-hosted,2000-5000,N/A,N/A,2,0,0,Open-source GDPR
Analytics,Plausible,Self-hosted,2000-5000,N/A,N/A,2,0,0,Privacy-friendly
Analytics,Plausible,Cloud,2000-5000,N/A,N/A,N/A,8.3,100,10K pageviews
Analytics,Fathom,Cloud,2000-5000,N/A,N/A,N/A,12.9,155,100K pageviews
Scenario,Budget MVP,Total Stack,2000-5000,8,16,320,83,996,Hetzner + self-hosted tutto
Scenario,Balanced Prod,Total Stack,2000-5000,10,26,370,240,2880,Hetzner + alcuni managed
Scenario,Premium AWS,Total Stack,2000-5000,10,26,150,1015,12180,AWS Fargate full managed
